player_id,Player,Matches,RallyLen,RLen-Serve,RLen-Return,1-3 W%,4-6 W%,7-9 W%,10+ W%,FH/GS,BH Slice%,FHP/Match,FHP/100,BHP/Match,BHP/100
1,Michael Stich,27,3.1,2.6,3.6,0.512,0.47600000000000003,0.436,0.522,0.408,0.391,1.6,2.1,2.1,2.8
2,Alexander Zverev,231,4.3,4.1,4.5,0.513,0.51,0.479,0.51,0.47600000000000003,0.121,4.1,3.2,3.3,2.5
3,Aljaz Bedene,37,4.2,4.1,4.3,0.49200000000000005,0.46399999999999997,0.474,0.49,0.518,0.15,4.7,3.5,-2.7,-2.5
4,Jenson Brooksby,27,5.2,5.7,4.7,0.484,0.48200000000000004,0.53,0.5489999999999999,0.446,0.102,6.2,4.3,5.8,3.4
5,Marton Fucsovics,36,4.6,4.7,4.6,0.498,0.5,0.498,0.48200000000000004,0.517,0.33799999999999997,7.8,4.5,-0.8,-0.7
6,Fernando Gonzalez,29,3.7,3.7,3.7,0.488,0.49200000000000005,0.486,0.446,0.542,0.48200000000000004,12.5,9.2,1.5,2.5
7,Dominic Thiem,177,4.3,4.1,4.5,0.498,0.52,0.496,0.514,0.53,0.33799999999999997,9.0,6.1,0.6,0.7
8,Nikolay Davydenko,31,4.8,5.0,4.6,0.48100000000000004,0.508,0.546,0.511,0.498,0.064,8.1,5.4,3.2,2.2
9,Matteo Berrettini,79,3.7,3.5,3.9,0.521,0.47200000000000003,0.46799999999999997,0.48700000000000004,0.517,0.392,5.8,5.0,-2.8,-3.8
10,John Mcenroe,41,3.2,2.7,3.7,0.51,0.518,0.425,0.518,0.43,0.363,2.6,3.2,0.4,0.6
11,Gustavo Kuerten,41,4.1,3.9,4.2,0.527,0.511,0.47100000000000003,0.515,0.45299999999999996,0.11900000000000001,6.6,4.9,3.1,2.1
12,Dustin Brown,21,2.8,2.8,2.9,0.509,0.529,0.489,0.465,0.53,0.23,2.2,4.8,3.3,7.3
13,Cristian Garin,34,4.2,4.3,4.1,0.46,0.53,0.519,0.535,0.509,0.08800000000000001,7.2,5.5,0.9,0.7
14,Jo Wilfried Tsonga,90,3.7,3.5,3.9,0.503,0.484,0.484,0.48,0.526,0.281,8.0,7.0,-3.2,-4.1
15,Felix Auger Aliassime,92,3.7,3.6,3.8,0.515,0.47700000000000004,0.483,0.475,0.5429999999999999,0.149,5.8,4.9,-1.8,-2.1
16,Patrick Rafter,35,2.8,2.3,3.3,0.49700000000000005,0.49700000000000005,0.455,0.519,0.376,0.657,3.0,7.1,0.5,2.0
17,Goran Ivanisevic,45,2.7,2.5,2.9,0.509,0.447,0.435,0.5,0.469,0.27899999999999997,4.1,5.3,-0.6,-1.0
18,Juan Carlos Ferrero,40,4.6,4.7,4.5,0.48100000000000004,0.508,0.517,0.489,0.48200000000000004,0.044000000000000004,8.2,5.3,1.8,1.1
19,Maxime Cressy,35,2.6,2.1,3.2,0.507,0.49700000000000005,0.313,0.44,0.457,0.387,-2.0,-4.7,-1.5,-3.8
20,Stefan Edberg,165,3.1,2.7,3.5,0.504,0.539,0.426,0.515,0.41,0.493,1.6,2.5,1.4,2.9
21,Kyle Edmund,30,3.8,3.9,3.7,0.479,0.486,0.496,0.556,0.536,0.12300000000000001,8.8,7.6,-0.0,-0.0
22,Emil Ruusuvuori,22,4.5,4.7,4.2,0.469,0.505,0.57,0.521,0.525,0.07200000000000001,3.3,2.3,0.5,0.4
23,Novak Djokovic,467,4.8,4.7,4.8,0.519,0.537,0.5379999999999999,0.535,0.49,0.138,11.4,7.2,3.7,2.5
24,Francisco Cerundolo,28,4.6,4.6,4.5,0.478,0.512,0.536,0.5329999999999999,0.512,0.10400000000000001,9.2,6.4,0.7,0.5
25,Carlos Alcaraz,100,4.1,4.0,4.1,0.508,0.544,0.55,0.5579999999999999,0.529,0.14400000000000002,9.5,7.1,2.6,2.3
26,Lorenzo Musetti,37,4.1,4.3,4.0,0.494,0.46799999999999997,0.473,0.47700000000000004,0.523,0.311,6.8,5.7,0.9,1.1
27,Yevgeny Kafelnikov,49,4.0,4.1,3.9,0.478,0.489,0.523,0.515,0.45,0.17300000000000001,5.5,4.3,1.6,1.2
28,Lorenzo Sonego,30,3.9,3.9,4.0,0.503,0.489,0.452,0.447,0.541,0.20199999999999999,4.3,3.7,-4.2,-4.6
29,Jimmy Connors,41,4.5,4.8,4.1,0.46,0.498,0.569,0.51,0.528,0.156,4.4,2.5,4.2,3.0
30,Fernando Verdasco,41,4.1,4.2,4.0,0.484,0.48,0.494,0.433,0.551,0.162,8.9,6.1,-1.3,-1.3
31,Denis Shapovalov,88,3.6,3.4,3.8,0.49,0.534,0.48100000000000004,0.517,0.5670000000000001,0.17600000000000002,7.0,5.4,-0.3,-0.3
32,Grigor Dimitrov,117,4.2,4.1,4.2,0.488,0.501,0.51,0.52,0.53,0.49700000000000005,10.7,7.7,-1.1,-1.7
