Player,Matches,RiP%,RiP W%,RetWnr%,Wnr FH%,RDI,Slice%,1st: RiP%,RiP W%.1,RetWnr%.1,RDI.1,Slice%.1,2nd: RiP%,RiP W%.2,RetWnr%.2,RDI.2,Slice%.2
Michael Stich,27,66.3%,46.1%,10.5%,30.1%,1.71,19.6%,62.9%,42.3%,7.7%,1.6,24.0%,81.3%,50.8%,16.3%,1.83,15.2%
Alexander Zverev,231,70.4%,48.7%,2.2%,52.4%,2.23,19.1%,65.2%,45.5%,1.8%,2.18,26.7%,87.2%,53.1%,3.3%,2.31,6.6%
Aljaz Bedene,37,70.0%,45.2%,4.6%,60.0%,2.12,17.0%,67.2%,41.8%,2.5%,2.13,30.4%,85.0%,50.3%,9.2%,2.12,3.7%
Jenson Brooksby,27,69.0%,50.0%,4.1%,45.5%,2.28,11.7%,63.8%,46.7%,2.7%,2.22,18.4%,85.2%,54.5%,7.1%,2.37,0.6%
Marton Fucsovics,36,74.4%,47.2%,3.4%,45.3%,2.28,16.8%,71.5%,43.3%,2.6%,2.24,25.7%,87.3%,52.6%,5.2%,2.33,5.9%
Fernando Gonzalez,29,66.7%,45.5%,4.2%,43.9%,2.16,24.1%,64.4%,39.9%,3.1%,2.13,29.5%,79.9%,54.1%,6.7%,2.2,16.5%
Dominic Thiem,177,70.3%,48.3%,3.2%,48.7%,2.24,12.6%,65.6%,45.2%,2.4%,2.2,18.5%,86.0%,52.8%,4.9%,2.29,4.3%
Nikolay Davydenko,31,73.5%,49.2%,2.9%,50.0%,2.05,17.6%,68.4%,47.1%,2.4%,2.03,19.3%,87.2%,52.1%,3.9%,2.07,14.5%
Matteo Berrettini,79,68.0%,43.1%,2.5%,56.5%,2.19,19.2%,64.7%,40.6%,1.8%,2.14,32.3%,82.0%,47.0%,4.1%,2.25,3.4%
John Mcenroe,41,70.0%,47.1%,11.2%,43.2%,1.63,13.7%,70.8%,44.9%,10.0%,1.49,18.0%,83.1%,50.4%,15.6%,1.79,8.8%
Gustavo Kuerten,41,71.8%,48.4%,3.3%,38.0%,2.16,23.0%,67.9%,45.9%,2.0%,2.11,37.3%,88.2%,51.1%,5.6%,2.2,11.1%
Dustin Brown,21,58.9%,53.6%,6.8%,43.5%,1.98,13.1%,58.1%,49.8%,6.2%,1.93,18.6%,71.7%,60.9%,9.4%,2.04,4.1%
Cristian Garin,34,68.4%,50.4%,4.3%,55.3%,2.25,10.5%,64.0%,48.3%,2.4%,2.24,16.2%,83.4%,53.2%,8.2%,2.27,2.6%
Jo Wilfried Tsonga,90,67.6%,44.6%,3.3%,41.0%,2.14,19.0%,65.7%,40.2%,2.4%,2.08,26.9%,77.3%,51.4%,5.2%,2.2,9.9%
Felix Auger Aliassime,92,66.7%,46.9%,2.9%,55.7%,2.22,16.9%,64.3%,43.5%,2.4%,2.21,25.4%,78.9%,52.3%,4.5%,2.24,4.9%
Patrick Rafter,35,60.7%,46.9%,13.4%,33.8%,1.55,17.0%,60.3%,43.1%,11.9%,1.48,21.7%,76.6%,51.9%,19.1%,1.63,10.3%
Goran Ivanisevic,45,56.3%,45.5%,5.7%,33.8%,1.68,28.4%,50.6%,40.4%,3.7%,1.56,46.5%,75.3%,51.3%,10.0%,1.78,14.3%
Juan Carlos Ferrero,40,70.2%,49.2%,3.1%,46.4%,2.17,19.0%,64.6%,45.4%,2.1%,2.16,24.6%,85.5%,53.6%,4.9%,2.18,10.8%
Maxime Cressy,35,56.5%,41.6%,7.6%,51.6%,1.58,19.4%,53.8%,38.3%,7.5%,1.54,23.0%,70.9%,46.8%,9.0%,1.65,12.9%
Stefan Edberg,165,65.8%,49.5%,12.4%,37.9%,1.58,13.2%,65.2%,45.6%,13.2%,1.51,14.7%,81.0%,54.7%,13.9%,1.69,10.8%
Kyle Edmund,30,64.1%,48.3%,3.4%,48.1%,2.33,12.8%,59.8%,44.2%,2.7%,2.29,21.7%,80.3%,53.6%,5.2%,2.37,1.8%
Emil Ruusuvuori,22,68.2%,50.7%,2.4%,55.0%,2.24,12.8%,63.6%,47.9%,1.9%,2.24,17.0%,84.1%,54.7%,3.6%,2.26,5.6%
Novak Djokovic,467,70.5%,52.1%,2.6%,58.2%,2.16,19.8%,66.0%,48.5%,2.0%,2.12,26.0%,86.1%,57.2%,3.9%,2.23,9.7%
Francisco Cerundolo,28,74.3%,50.5%,3.7%,56.1%,2.29,5.8%,71.3%,47.7%,3.0%,2.31,8.0%,86.3%,55.0%,5.3%,2.25,1.4%
Carlos Alcaraz,100,71.4%,52.6%,3.8%,46.7%,2.18,7.6%,69.8%,49.0%,3.3%,2.16,10.8%,82.0%,58.0%,5.0%,2.22,1.9%
Lorenzo Musetti,37,71.7%,43.5%,3.7%,38.4%,2.21,11.9%,69.9%,40.0%,3.4%,2.21,15.3%,84.7%,49.6%,4.9%,2.21,6.0%
Yevgeny Kafelnikov,49,65.4%,49.7%,4.6%,49.8%,2.11,19.7%,60.0%,46.7%,3.8%,2.04,25.7%,82.8%,53.3%,6.5%,2.18,13.1%
Lorenzo Sonego,30,70.2%,42.6%,3.8%,66.7%,2.23,16.1%,67.2%,40.5%,3.7%,2.17,23.1%,84.2%,45.9%,4.4%,2.31,5.2%
Jimmy Connors,41,66.3%,52.8%,4.8%,41.1%,2.02,27.6%,60.6%,51.3%,5.5%,1.98,30.5%,86.9%,54.3%,4.7%,2.11,20.8%
Fernando Verdasco,41,69.5%,45.3%,4.1%,53.3%,2.18,12.3%,65.0%,40.6%,3.2%,2.17,17.1%,84.8%,52.2%,6.1%,2.19,3.7%
Denis Shapovalov,88,65.4%,48.1%,2.9%,35.6%,2.19,16.9%,63.1%,44.5%,2.5%,2.12,26.5%,77.2%,53.8%,4.1%,2.28,4.2%
Grigor Dimitrov,117,66.5%,48.3%,3.6%,48.1%,2.21,17.3%,62.1%,44.8%,2.1%,2.17,24.5%,82.5%,53.4%,7.0%,2.27,6.4%
Mats Wilander,29,75.3%,49.5%,4.6%,64.0%,1.85,30.8%,73.4%,45.3%,4.5%,1.77,29.6%,91.8%,54.1%,5.5%,2.04,33.6%
John Isner,92,57.9%,40.1%,4.5%,48.0%,2.03,25.9%,54.4%,35.4%,4.2%,2.0,31.4%,71.7%,47.3%,5.4%,2.08,17.4%
Mikael Ymer,22,72.2%,51.3%,3.3%,70.0%,2.37,9.5%,67.4%,48.0%,3.3%,2.37,12.4%,87.3%,55.9%,3.7%,2.36,3.5%
Ugo Humbert,20,61.0%,50.5%,3.6%,33.3%,2.29,22.0%,55.1%,45.4%,2.2%,2.28,36.3%,79.6%,57.6%,6.7%,2.3,3.6%
Marcos Baghdatis,25,68.9%,47.5%,3.9%,38.8%,2.17,25.8%,64.8%,44.9%,2.5%,2.08,37.4%,84.1%,51.1%,7.0%,2.25,15.0%
Andre Agassi,165,62.3%,53.2%,4.9%,50.4%,2.11,31.6%,56.5%,49.5%,3.7%,2.08,35.5%,81.3%,57.2%,7.5%,2.14,25.5%
Michael Chang,57,68.9%,50.1%,3.3%,60.9%,2.21,21.2%,65.4%,46.0%,1.7%,2.18,27.9%,86.1%,54.6%,6.1%,2.25,13.1%
Nicolas Almagro,20,70.3%,42.8%,4.3%,62.3%,2.19,13.4%,64.6%,37.7%,2.8%,2.18,22.9%,89.3%,49.8%,7.7%,2.19,2.7%
Roger Federer,630,69.0%,50.7%,4.1%,51.4%,2.04,16.7%,65.3%,48.1%,3.1%,1.98,24.5%,83.2%,54.4%,6.2%,2.12,6.9%
Tomas Berdych,95,65.9%,45.5%,3.8%,52.3%,2.16,24.7%,61.1%,40.3%,2.3%,2.11,35.9%,82.2%,53.1%,7.1%,2.21,13.5%
Hyeon Chung,20,66.7%,50.3%,2.9%,63.6%,2.41,13.8%,60.0%,47.7%,2.9%,2.4,19.7%,84.4%,53.0%,3.3%,2.43,5.1%
Cameron Norrie,59,68.2%,46.6%,2.9%,47.2%,2.21,19.3%,64.8%,42.2%,2.0%,2.18,27.9%,81.9%,53.2%,4.9%,2.25,5.0%
Botic Van De Zandschulp,70,69.4%,49.7%,3.2%,58.6%,2.22,16.2%,68.0%,46.5%,2.5%,2.2,24.7%,79.5%,54.9%,4.8%,2.25,3.9%
Andy Roddick,103,65.8%,43.7%,3.1%,53.2%,1.99,31.1%,59.6%,40.2%,2.5%,1.95,36.5%,85.5%,48.0%,4.4%,2.05,24.7%
Nicolas Jarry,38,62.1%,50.3%,2.6%,46.8%,2.19,24.8%,59.5%,46.9%,1.8%,2.12,34.0%,76.0%,55.2%,4.4%,2.3,11.3%
Sam Querrey,35,61.7%,47.2%,3.6%,54.6%,2.16,27.7%,59.0%,43.1%,2.1%,2.06,44.1%,77.2%,53.4%,7.2%,2.25,11.2%
Lleyton Hewitt,123,67.7%,50.7%,3.9%,61.7%,2.22,25.4%,62.7%,48.0%,2.4%,2.15,33.3%,85.2%,54.1%,7.0%,2.28,18.1%
Ernests Gulbis,28,65.2%,47.7%,2.5%,47.2%,2.06,19.6%,63.2%,45.3%,1.9%,2.04,28.7%,76.8%,51.4%,3.8%,2.09,8.9%
