player_id,Player,Matches,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%.1,RiP W%.1,SvImpact.1,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%.2,RiP W%.2,D Wide%.1,A Wide%.1,BP Wide%.1,2ndAgg
1,Michael Stich,27,0.35,0.509,0.5,0.42200000000000004,0.46799999999999997,0.6459999999999999,0.551,0.598,0.457,0.44299999999999995,0.518,0.23800000000000002,0.396,0.44799999999999995,0.192,0.586,0.705,99
2,Alexander Zverev,231,0.31,0.414,0.526,0.375,0.397,0.524,0.556,0.496,0.484,0.409,0.361,0.171,0.24100000000000002,0.47700000000000004,0.14,0.373,0.335,41
3,Aljaz Bedene,37,0.271,0.371,0.48100000000000004,0.321,0.376,0.503,0.532,0.467,0.389,0.42700000000000005,0.426,0.16899999999999998,0.24600000000000002,0.429,0.295,0.5770000000000001,0.6829999999999999,48
4,Jenson Brooksby,27,0.19899999999999998,0.289,0.5329999999999999,0.255,0.244,0.359,0.574,0.331,0.467,0.46799999999999997,0.526,0.12,0.165,0.466,0.19399999999999998,0.36200000000000004,0.446,-15
5,Marton Fucsovics,36,0.233,0.33,0.52,0.292,0.298,0.426,0.555,0.401,0.345,0.527,0.5,0.165,0.22899999999999998,0.478,0.252,0.608,0.728,47
6,Fernando Gonzalez,29,0.27399999999999997,0.40299999999999997,0.515,0.35100000000000003,0.358,0.513,0.55,0.48200000000000004,0.47700000000000004,0.5429999999999999,0.525,0.158,0.257,0.46399999999999997,0.37799999999999995,0.467,0.446,38
7,Dominic Thiem,177,0.268,0.39299999999999996,0.5329999999999999,0.341,0.342,0.493,0.57,0.45899999999999996,0.488,0.527,0.565,0.16,0.249,0.48100000000000004,0.309,0.45899999999999996,0.5429999999999999,43
8,Nikolay Davydenko,31,0.21600000000000003,0.312,0.529,0.28,0.26899999999999996,0.379,0.5529999999999999,0.365,0.401,0.515,0.579,0.126,0.2,0.48700000000000004,0.331,0.493,0.48100000000000004,8
9,Matteo Berrettini,79,0.34299999999999997,0.47200000000000003,0.527,0.41700000000000004,0.451,0.608,0.584,0.5670000000000001,0.495,0.48,0.5489999999999999,0.172,0.26,0.457,0.172,0.365,0.504,15
10,John Mcenroe,41,0.317,0.474,0.503,0.39399999999999996,0.42700000000000005,0.607,0.529,0.564,0.395,0.568,0.534,0.214,0.37200000000000005,0.473,0.264,0.57,0.594,80
11,Gustavo Kuerten,41,0.27699999999999997,0.39899999999999997,0.519,0.335,0.415,0.564,0.57,0.525,0.402,0.619,0.6729999999999999,0.134,0.23399999999999999,0.475,0.256,0.693,0.757,-9
12,Dustin Brown,21,0.33299999999999996,0.493,0.523,0.425,0.401,0.5770000000000001,0.547,0.544,0.431,0.455,0.375,0.254,0.408,0.484,0.26899999999999996,0.326,0.386,122
13,Cristian Garin,34,0.225,0.32299999999999995,0.505,0.28600000000000003,0.29,0.402,0.545,0.39,0.423,0.555,0.636,0.139,0.223,0.44799999999999995,0.39899999999999997,0.33899999999999997,0.233,20
14,Jo Wilfried Tsonga,90,0.314,0.447,0.52,0.38799999999999996,0.42700000000000005,0.583,0.5710000000000001,0.547,0.451,0.495,0.45,0.14800000000000002,0.253,0.461,0.15,0.489,0.561,33
15,Felix Auger Aliassime,92,0.34299999999999997,0.44799999999999995,0.512,0.408,0.445,0.5770000000000001,0.5529999999999999,0.5479999999999999,0.47100000000000003,0.46399999999999997,0.462,0.18899999999999997,0.257,0.455,0.27699999999999997,0.353,0.36700000000000005,59
16,Patrick Rafter,35,0.34600000000000003,0.503,0.48200000000000004,0.424,0.442,0.63,0.529,0.573,0.45799999999999996,0.469,0.46799999999999997,0.268,0.41100000000000003,0.415,0.213,0.486,0.5539999999999999,102
17,Goran Ivanisevic,45,0.423,0.541,0.49700000000000005,0.475,0.594,0.723,0.5479999999999999,0.688,0.382,0.546,0.563,0.263,0.38799999999999996,0.456,0.179,0.511,0.638,121
18,Juan Carlos Ferrero,40,0.225,0.32299999999999995,0.516,0.284,0.28600000000000003,0.405,0.542,0.382,0.391,0.598,0.688,0.142,0.214,0.478,0.142,0.7290000000000001,0.838,24
19,Maxime Cressy,35,0.43200000000000005,0.594,0.569,0.515,0.508,0.691,0.586,0.644,0.545,0.616,0.728,0.425,0.6,0.5379999999999999,0.456,0.552,0.5710000000000001,233
20,Stefan Edberg,165,0.29100000000000004,0.46399999999999997,0.511,0.38299999999999995,0.36700000000000005,0.57,0.541,0.519,0.397,0.54,0.6409999999999999,0.221,0.38299999999999995,0.46399999999999997,0.233,0.45299999999999996,0.555,96
21,Kyle Edmund,30,0.27699999999999997,0.39799999999999996,0.507,0.33899999999999997,0.35700000000000004,0.506,0.541,0.462,0.467,0.484,0.429,0.17800000000000002,0.268,0.46399999999999997,0.165,0.521,0.688,42
22,Emil Ruusuvuori,22,0.245,0.33,0.513,0.294,0.314,0.406,0.544,0.39,0.35,0.41,0.39,0.13,0.212,0.46299999999999997,0.054000000000000006,0.52,0.5710000000000001,9
23,Novak Djokovic,467,0.261,0.369,0.5589999999999999,0.33,0.324,0.457,0.5870000000000001,0.43,0.47200000000000003,0.475,0.457,0.162,0.22899999999999998,0.513,0.41,0.34,0.35200000000000004,43
