player_id,Player,Matches,SnV Freq,SnV W%,Net Freq,Net W%,FH Wnr%,FH DTL Wnr%,FH IO Wnr%,BH Wnr%,BH DTL Wnr%,Drop Freq,Drop Wnr%,RallyAgg,ReturnAgg
1,Michael Stich,27,0.731,0.6679999999999999,0.396,0.6629999999999999,0.132,0.19899999999999998,0.135,0.165,0.284,0.016,0.315,44,69
2,Alexander Zverev,231,0.021,0.6729999999999999,0.113,0.644,0.106,0.153,0.10300000000000001,0.08,0.255,0.01,0.327,-44,-15
3,Aljaz Bedene,37,0.011000000000000001,0.69,0.07,0.674,0.126,0.156,0.08900000000000001,0.052000000000000005,0.15,0.015,0.28600000000000003,-34,-20
4,Jenson Brooksby,27,0.004,0.5,0.084,0.7,0.099,0.151,0.051,0.068,0.22699999999999998,0.013000000000000001,0.34700000000000003,-74,-74
5,Marton Fucsovics,36,0.023,0.726,0.095,0.722,0.114,0.142,0.10300000000000001,0.06,0.16,0.009000000000000001,0.336,-52,-40
6,Fernando Gonzalez,29,0.016,0.591,0.102,0.67,0.192,0.213,0.162,0.158,0.342,0.017,0.262,7,17
7,Dominic Thiem,177,0.02,0.726,0.094,0.718,0.14300000000000002,0.19399999999999998,0.10800000000000001,0.1,0.313,0.015,0.35200000000000004,-19,-10
8,Nikolay Davydenko,31,0.004,0.6,0.08900000000000001,0.7170000000000001,0.131,0.18600000000000003,0.075,0.079,0.18100000000000002,0.003,0.382,-24,-20
9,Matteo Berrettini,79,0.012,0.653,0.095,0.72,0.17600000000000002,0.248,0.146,0.059000000000000004,0.28,0.024,0.363,25,38
10,John Mcenroe,41,0.758,0.6659999999999999,0.467,0.6459999999999999,0.125,0.19899999999999998,0.14,0.145,0.209,0.008,0.382,29,49
11,Gustavo Kuerten,41,0.027000000000000003,0.67,0.115,0.7070000000000001,0.14,0.205,0.146,0.10300000000000001,0.284,0.015,0.41,0,4
12,Dustin Brown,21,0.52,0.669,0.336,0.664,0.18,0.289,0.133,0.162,0.336,0.071,0.251,108,107
13,Cristian Garin,34,0.003,0.778,0.11199999999999999,0.688,0.127,0.184,0.077,0.08800000000000001,0.24600000000000002,0.016,0.266,-9,-14
14,Jo Wilfried Tsonga,90,0.063,0.6779999999999999,0.142,0.698,0.18,0.21,0.159,0.079,0.203,0.013999999999999999,0.212,21,36
15,Felix Auger Aliassime,92,0.016,0.782,0.10800000000000001,0.691,0.149,0.20800000000000002,0.11599999999999999,0.062,0.225,0.008,0.303,7,34
16,Patrick Rafter,35,0.8170000000000001,0.65,0.451,0.637,0.16,0.233,0.11900000000000001,0.158,0.28800000000000003,0.009000000000000001,0.37200000000000005,32,59
17,Goran Ivanisevic,45,0.628,0.679,0.29600000000000004,0.6709999999999999,0.153,0.264,0.139,0.115,0.147,0.01,0.33299999999999996,58,110
18,Juan Carlos Ferrero,40,0.005,0.765,0.081,0.716,0.115,0.127,0.11199999999999999,0.067,0.21100000000000002,0.012,0.441,-52,-42
19,Maxime Cressy,35,0.8390000000000001,0.711,0.39799999999999996,0.6859999999999999,0.105,0.18899999999999997,0.0,0.13699999999999998,0.28600000000000003,0.008,0.314,62,121
20,Stefan Edberg,165,0.778,0.6679999999999999,0.47600000000000003,0.6559999999999999,0.11900000000000001,0.145,0.047,0.146,0.309,0.004,0.179,46,53
21,Kyle Edmund,30,0.001,0.33299999999999996,0.078,0.698,0.17300000000000001,0.23199999999999998,0.149,0.091,0.23600000000000002,0.004,0.28,18,18
22,Emil Ruusuvuori,22,0.01,0.75,0.073,0.747,0.105,0.132,0.065,0.064,0.192,0.006999999999999999,0.37,-28,-20
23,Novak Djokovic,467,0.019,0.6920000000000001,0.109,0.706,0.122,0.152,0.11199999999999999,0.07,0.165,0.016,0.281,-49,-35
24,Francisco Cerundolo,28,0.004,0.625,0.07400000000000001,0.6920000000000001,0.152,0.204,0.184,0.07,0.281,0.019,0.503,5,-3
25,Carlos Alcaraz,100,0.05,0.782,0.11900000000000001,0.728,0.162,0.212,0.11199999999999999,0.091,0.251,0.034,0.442,12,14
26,Lorenzo Musetti,37,0.043,0.6559999999999999,0.10300000000000001,0.672,0.133,0.166,0.124,0.1,0.252,0.031,0.29,-38,-34
27,Yevgeny Kafelnikov,49,0.095,0.674,0.156,0.6920000000000001,0.124,0.163,0.081,0.086,0.23600000000000002,0.008,0.314,-8,1
28,Lorenzo Sonego,30,0.049,0.705,0.11199999999999999,0.716,0.147,0.21600000000000003,0.105,0.054000000000000006,0.182,0.033,0.33299999999999996,-12,2
29,Jimmy Connors,41,0.158,0.616,0.252,0.664,0.08199999999999999,0.139,0.051,0.09300000000000001,0.145,0.003,0.23399999999999999,-1,-19
30,Fernando Verdasco,41,0.008,0.72,0.081,0.664,0.161,0.22399999999999998,0.11699999999999999,0.081,0.152,0.011000000000000001,0.244,11,19
31,Denis Shapovalov,88,0.046,0.77,0.124,0.711,0.17300000000000001,0.253,0.131,0.1,0.17300000000000001,0.009000000000000001,0.345,58,62
32,Grigor Dimitrov,117,0.009000000000000001,0.679,0.094,0.725,0.14300000000000002,0.22399999999999998,0.092,0.083,0.271,0.01,0.275,-25,-11
33,Mats Wilander,29,0.228,0.653,0.239,0.634,0.066,0.113,0.027999999999999997,0.057999999999999996,0.16399999999999998,0.0,0.5,-123,-116
34,John Isner,92,0.168,0.6829999999999999,0.15,0.6679999999999999,0.18600000000000003,0.20600000000000002,0.159,0.083,0.24100000000000002,0.01,0.3,65,104
35,Mikael Ymer,22,0.01,0.579,0.096,0.696,0.08900000000000001,0.163,0.062,0.069,0.22899999999999998,0.008,0.354,-77,-70
36,Ugo Humbert,20,0.006999999999999999,0.455,0.08199999999999999,0.743,0.165,0.261,0.086,0.10800000000000001,0.23199999999999998,0.005,0.444,23,25
37,Marcos Baghdatis,25,0.027000000000000003,0.7,0.096,0.6890000000000001,0.127,0.179,0.126,0.077,0.207,0.018000000000000002,0.405,-34,-16
38,Andre Agassi,165,0.021,0.667,0.08900000000000001,0.706,0.156,0.198,0.128,0.10400000000000001,0.27899999999999997,0.006,0.39399999999999996,-15,-10
39,Michael Chang,57,0.016,0.518,0.14,0.653,0.111,0.16699999999999998,0.063,0.068,0.201,0.001,0.233,-69,-65
40,Nicolas Almagro,20,0.001,1.0,0.07400000000000001,0.7140000000000001,0.156,0.20800000000000002,0.10099999999999999,0.084,0.245,0.012,0.324,0,-4
41,Roger Federer,630,0.107,0.685,0.152,0.703,0.174,0.231,0.151,0.092,0.237,0.011000000000000001,0.395,13,27
42,Tomas Berdych,95,0.006,0.636,0.098,0.69,0.154,0.192,0.131,0.069,0.168,0.003,0.306,-4,6
43,Hyeon Chung,20,0.001,1.0,0.079,0.679,0.115,0.20199999999999999,0.18600000000000003,0.057999999999999996,0.191,0.004,0.652,-49,-40
44,Cameron Norrie,59,0.013999999999999999,0.574,0.109,0.68,0.11,0.183,0.065,0.064,0.122,0.006999999999999999,0.34299999999999997,-51,-41
45,Botic Van De Zandschulp,70,0.018000000000000002,0.6629999999999999,0.128,0.698,0.141,0.193,0.11599999999999999,0.055,0.228,0.019,0.28800000000000003,-13,10
46,Andy Roddick,103,0.07200000000000001,0.633,0.142,0.611,0.135,0.19,0.12,0.066,0.207,0.003,0.348,-52,-6
47,Nicolas Jarry,38,0.048,0.722,0.114,0.708,0.223,0.261,0.253,0.084,0.302,0.01,0.43799999999999994,128,83
48,Sam Querrey,35,0.037000000000000005,0.695,0.11800000000000001,0.634,0.17600000000000002,0.257,0.18100000000000002,0.11,0.28,0.012,0.35600000000000004,45,73
49,Lleyton Hewitt,123,0.011000000000000001,0.7020000000000001,0.096,0.6990000000000001,0.11599999999999999,0.16699999999999998,0.076,0.066,0.252,0.002,0.264,-70,-50
50,Ernests Gulbis,28,0.013000000000000001,0.731,0.081,0.7190000000000001,0.1,0.149,0.08900000000000001,0.1,0.233,0.027000000000000003,0.36200000000000004,15,43
51,Albert Ramos,35,0.006,0.75,0.068,0.6759999999999999,0.115,0.18899999999999997,0.09,0.042,0.106,0.009000000000000001,0.452,-52,-51
52,Lucas Pouille,42,0.047,0.6709999999999999,0.11699999999999999,0.685,0.17,0.209,0.12300000000000001,0.094,0.21100000000000002,0.02,0.344,25,35
53,Janko Tipsarevic,30,0.005,0.75,0.106,0.68,0.106,0.14,0.086,0.073,0.244,0.004,0.41200000000000003,-47,-34
54,Alexander Bublik,56,0.153,0.59,0.158,0.604,0.17600000000000002,0.21600000000000003,0.265,0.113,0.303,0.061,0.205,39,85
